,Player,Team,Rank,Pos,Bye,Best,Worst,Avg,Std Dev,ADP
376,Scott Miller,TB,360,WR110,13.0,206.0,383.0,306.4,48.2,357.0
377,Keelan Cole,JAC,361,WR111,7.0,239.0,520.0,338.5,49.0,
378,Jeff Wilson,SF,362,RB104,11.0,162.0,392.0,322.0,36.0,
379,Mike Davis,CAR,363,RB105,13.0,181.0,419.0,326.2,46.2,371.0
380,New Yo,DST,364,DST31,11.0,187.0,390.0,291.8,47.6,
381,Antonio Brown,FA,365,WR112,,63.0,425.0,293.3,55.0,204.0
382,Trent Taylor,SF,366,WR113,11.0,168.0,500.0,310.7,73.0,378.0
383,Jakeem Grant,MIA,367,WR114,11.0,229.0,375.0,296.7,42.7,
384,Cincinnati (CIN)C,DST,368,DST32,9.0,173.0,388.0,303.8,56.9,226.0
385,Eddy Pineiro,CHI,369,K32,11.0,201.0,426.0,302.1,50.3,265.0
386,Adam Vinatieri,FA,370,K33,,174.0,375.0,281.6,50.4,
387,Ty Montgomery,NO,371,RB106,6.0,229.0,389.0,324.6,31.8,376.0
388,Kalen Ballage,MIA,372,RB107,11.0,267.0,375.0,320.6,27.4,356.0
389,Andy Dalton,DAL,373,QB40,10.0,203.0,397.0,332.3,52.0,
390,Dante Pettis,SF,374,WR115,11.0,233.0,504.0,331.0,53.4,365.0
391,J.D. McKissic,WAS,375,RB108,8.0,162.0,379.0,298.8,47.1,361.0
392,Jeremy Sprinkle,WAS,376,TE48,8.0,207.0,412.0,328.9,43.6,
393,Kai Forbath,FA,377,K34,,163.0,370.0,287.3,39.4,
394,Adam Trautman,NO,378,TE49,6.0,206.0,406.0,329.5,45.1,377.0
395,Tajae Sharpe,MIN,379,WR116,7.0,259.0,515.0,327.0,50.2,335.0
396,Sam Sloman,LAR,380,K35,9.0,228.0,368.0,293.5,45.8,323.0
397,Trayveon Williams,CIN,381,RB109,9.0,170.0,398.0,336.1,44.9,
398,Tyler Johnson,TB,382,WR117,13.0,230.0,513.0,338.9,51.1,
399,Ty Johnson,DET,383,RB110,5.0,244.0,404.0,330.3,36.3,
400,Justin Watson,TB,384,WR118,13.0,244.0,409.0,344.7,34.7,
401,Jacoby Brissett,IND,385,QB41,7.0,221.0,402.0,330.1,41.6,
402,Isaiah Ford,MIA,386,WR119,11.0,206.0,400.0,308.9,60.5,
