,Player,Pos,Tm,PassingYds,PassingTD,Int,PassingAtt,Cmp,RushingAtt,RushingYds,RushingTD,Rec,Tgt,ReceivingYds,ReceivingTD,FL,StandardFantasyPoints,PPRFantasyPoints,HalfPPRFantasyPoints
266,Adam Prentice,FB,NOR,0,0,0,0,0,1,1,0,1,1,2,0,0,0.30000000000000004,1.3,0.8
267,Keith Smith,FB,ATL,0,0,0,0,0,0,0,0,1,1,3,0,0,0.30000000000000004,1.3,0.8
268,Greg Ward,WR,PHI,2,0,0,1,1,0,0,0,1,2,2,0,0,0.28,1.28,0.78
269,Tyreek Hill,WR,KAN,0,0,0,0,0,0,0,0,1,3,2,0,0,0.2,1.2,0.7
270,Jeff Smith,WR,NYJ,0,0,0,0,0,0,0,0,1,3,2,0,0,0.2,1.2,0.7
271,Geoff Swaim,TE,TEN,0,0,0,0,0,0,0,0,1,1,2,0,0,0.2,1.2,0.7
272,Jonathan Ward,RB,ARI,0,0,0,0,0,0,0,0,1,1,2,0,0,0.2,1.2,0.7
273,DeAndre Carter,WR,WAS,0,0,0,0,0,1,11,0,0,1,0,0,0,1.1,1.1,1.1
274,Khalil Herbert,RB,CHI,0,0,0,0,0,4,11,0,0,0,0,0,0,1.1,1.1,1.1
275,Ty Montgomery,WR,NOR,0,0,0,0,0,0,0,0,1,2,1,0,0,0.1,1.1,0.6
276,Josh Oliver,TE,BAL,0,0,0,0,0,0,0,0,1,1,1,0,0,0.1,1.1,0.6
277,Tevin Coleman,RB,NYJ,0,0,0,0,0,5,6,0,0,1,0,0,0,0.6000000000000001,0.6000000000000001,0.6000000000000001
278,Jonnu Smith,TE,NWE,0,0,0,0,0,1,5,0,0,0,0,0,0,0.5,0.5,0.5
279,Kene Nwangwu,RB,MIN,0,0,0,0,0,1,4,0,0,0,0,0,0,0.4,0.4,0.4
280,Ty'Son Williams,RB,BAL,0,0,0,0,0,1,4,0,0,0,0,0,0,0.4,0.4,0.4
281,Mitchell Trubisky,QB,BUF,15,0,0,1,1,3,-3,0,0,0,0,0,0,0.29999999999999993,0.29999999999999993,0.29999999999999993
282,Devin Duvernay,WR,BAL,0,0,0,0,0,1,2,0,0,0,0,0,0,0.2,0.2,0.2
283,Craig Reynolds,RB,DET,0,0,0,0,0,3,2,0,0,0,0,0,0,0.2,0.2,0.2
284,Mekhi Sargent,RB,JAX,0,0,0,0,0,1,2,0,0,1,0,0,0,0.2,0.2,0.2
