Pos,Team,Name,G,Snaps,TeamSnaps,Snap%,Per Game,RushPerc,TargetP,TouchPerc,FP,FPPerSnap
RB,JAX,Jordan Todman,16,307,1037,29.6,19.19,10.42,12.05,22.48,50.4,0.16
WR,CAR,Corey Brown,13,307,905,33.92,23.62,2.61,11.73,14.33,49.1,0.16
RB,KC,Knile Davis,16,304,1007,30.19,19,44.08,8.22,52.3,99,0.33
RB,JAX,Toby Gerhart,14,302,887,34.05,21.57,33.77,7.95,41.72,61.2,0.2
RB,NO,Pierre Thomas,11,300,779,38.51,27.27,15,18.33,33.33,78,0.26
WR,NYJ,David Nelson,6,298,423,70.45,49.67,0,5.37,5.37,6.5,0.02
WR,PIT,Martavis Bryant,10,295,690,42.75,29.5,1.02,16.27,17.29,104.1,0.35
WR,SF,Steve Johnson,13,292,865,33.76,22.46,0,17.12,17.12,61.5,0.21
RB,SF,Carlos Hyde,14,292,923,31.64,20.86,28.42,5.48,33.9,62.1,0.21
TE,SD,Ladarius Green,14,289,939,30.78,20.64,0,8.65,8.65,22.6,0.08
TE,NO,Josh Hill,16,288,1140,25.26,18,0,6.94,6.94,47.6,0.17
RB,CLE,Ben Tate,11,282,728,38.74,25.64,42.2,4.26,46.45,67,0.24
RB,DET,Reggie Bush,11,277,739,37.48,25.18,27.44,20.22,47.65,67,0.24
WR,OAK,Brice Butler,15,276,978,28.22,18.4,0,12.68,12.68,40,0.14
RB,OAK,Latavius Murray,15,275,951,28.92,18.33,29.82,8.36,38.18,68.7,0.25
TE,DEN,Jacob Tamme,15,275,1062,25.89,18.33,0,10.18,10.18,20.9,0.08
WR,BAL,Kamar Aiken,16,273,1076,25.37,17.06,0,12.09,12.09,44.7,0.16
WR,ARI,Jaron Brown,16,271,1059,25.59,16.94,0,11.81,11.81,34.9,0.13
WR,PIT,Lance Moore,14,264,983,26.86,18.86,0,9.85,9.85,33.8,0.13
TE,DAL,Gavin Escobar,16,262,1059,24.74,16.38,0,4.96,4.96,34.5,0.13
RB,GB,James Starks,16,260,1050,24.76,16.25,32.69,11.15,43.85,59.3,0.23
WR,PIT,Justin Brown,8,260,560,46.43,32.5,0,8.08,8.08,7.4,0.03
RB,SEA,Robert Turbin,16,260,1057,24.6,16.25,28.46,7.69,36.15,59.6,0.23
WR,KC,Junior Hemingway,14,255,897,28.43,18.21,0,8.24,8.24,10.8,0.04
RB,NE,James Develin,16,255,1131,22.55,15.94,1.18,3.14,4.31,4.8,0.02
RB,ATL,Devonta Freeman,16,251,1081,23.22,15.69,25.9,15.14,41.04,57.3,0.23
WR,NO,Robert Meachem,11,250,789,31.69,22.73,0,8.4,8.4,11.4,0.05
WR,CHI,Santonio Holmes,9,249,606,41.09,27.67,0,5.62,5.62,6.7,0.03
FB,KC,Anthony Sherman,16,249,1007,24.73,15.56,0.8,5.62,6.43,13.9,0.06
TE,SEA,Cooper Helfet,10,248,669,37.07,24.8,0,9.68,9.68,30.5,0.12
WR,KC,AJ Jenkins,9,247,590,41.86,27.44,0.81,6.07,6.88,9.1,0.04
FB,DET,Jed Collins,16,246,1093,22.51,15.38,3.25,2.44,5.69,11.8,0.05
WR,KC,Frankie Hammond,16,246,1007,24.43,15.38,0,4.47,4.47,4.5,0.02
RB,IND,Dan Herron,16,245,1155,21.21,15.31,31.84,10.61,42.45,54.4,0.22
WR,NO,Nick Toon,7,239,483,49.48,34.14,0.42,9.62,10.04,25.9,0.11
RB,NYJ,Bilal Powell,15,238,1030,23.11,15.87,13.87,6.3,20.17,29.3,0.12
RB,TEN,Leon Washington,16,235,966,24.33,14.69,5.53,13.19,18.72,31.6,0.13
WR,HOU,Keshawn Martin,16,233,1109,21.01,14.56,0,5.15,5.15,7.8,0.03
RB,TEN,Dexter McCluster,14,233,839,27.77,16.64,17.17,15.45,32.62,36.8,0.16
WR,CLE,Josh Gordon,5,233,298,78.19,46.6,0,20.17,20.17,30.3,0.13
WR,KC,Donnie Avery,6,232,392,59.18,38.67,0,11.21,11.21,15.6,0.07
RB,TB,Charles Sims,8,231,498,46.39,28.88,28.57,11.69,40.26,41.5,0.18
RB,PIT,LeGarrette Blount,16,231,1121,20.61,14.44,54.11,5.19,59.31,88.1,0.38
FB,JAX,Will Ta'ufo'ou,16,230,1037,22.18,14.38,0,3.48,3.48,8.1,0.04
WR,OAK,Denarius Moore,10,229,613,37.36,22.9,0.44,11.79,12.23,9.6,0.04
FB,CLE,Ray Agnew,12,229,787,29.1,19.08,0.87,3.93,4.8,1.7,0.01
